case_id,mode,n,seed,iteration,residual_abs,residual_relative_to_initial
pivot_stress_n128_seed3,pivot_stress,128,3,1,0.0028881060179960444,4.007482263403934e-06
pivot_stress_n128_seed3,pivot_stress,128,3,2,5.801538905542762e-08,8.050107620544534e-11
pivot_stress_n128_seed3,pivot_stress,128,3,3,9.03743255236799e-13,1.2540173537484614e-15
pivot_stress_n256_seed1,pivot_stress,256,1,0,1498.7406146755275,1.0
pivot_stress_n256_seed1,pivot_stress,256,1,1,0.26053683727645793,0.00017383717684388191
pivot_stress_n256_seed1,pivot_stress,256,1,2,4.496799424585334e-05,3.000385377264816e-08
pivot_stress_n256_seed1,pivot_stress,256,1,3,2.174065835817399e-08,1.450595129356708e-11
pivot_stress_n256_seed1,pivot_stress,256,1,4,6.728538932481385e-12,4.489461929967175e-15
pivot_stress_n256_seed2,pivot_stress,256,2,0,1548.0251418636556,1.0
pivot_stress_n256_seed2,pivot_stress,256,2,1,0.17601671701490265,0.00011370404281870867
pivot_stress_n256_seed2,pivot_stress,256,2,2,0.002163683326490986,1.397705546233018e-06
pivot_stress_n256_seed2,pivot_stress,256,2,3,0.00010642123188189258,6.874644926875856e-08
pivot_stress_n256_seed2,pivot_stress,256,2,4,5.232695412038869e-06,3.380239293619784e-09
pivot_stress_n256_seed2,pivot_stress,256,2,5,2.5728485699057176e-07,1.662019886064825e-10
pivot_stress_n256_seed2,pivot_stress,256,2,6,1.2650881529865512e-08,8.172271359000806e-12
pivot_stress_n256_seed2,pivot_stress,256,2,7,6.219822116559627e-10,4.017907686610071e-13
pivot_stress_n256_seed2,pivot_stress,256,2,8,3.057967023017576e-11,1.9753988099548e-14
pivot_stress_n256_seed3,pivot_stress,256,3,0,1647.8593763273714,1.0
pivot_stress_n256_seed3,pivot_stress,256,3,1,0.04034420717451404,2.4482797351573934e-05
pivot_stress_n256_seed3,pivot_stress,256,3,2,2.7190331692671832e-05,1.650039565467756e-08
pivot_stress_n256_seed3,pivot_stress,256,3,3,1.1592986645728904e-08,7.035179586480556e-12
pivot_stress_n256_seed3,pivot_stress,256,3,4,1.3022416137627205e-12,7.902625870085235e-16
pivot_stress_n512_seed1,pivot_stress,512,1,0,3065.352780593168,1.0
pivot_stress_n512_seed1,pivot_stress,512,1,1,0.15450538749385895,5.040378662842227e-05
pivot_stress_n512_seed1,pivot_stress,512,1,2,1.321557292362271e-05,4.311273079983113e-09
pivot_stress_n512_seed1,pivot_stress,512,1,3,2.3155645198447213e-09,7.553990309058792e-13
pivot_stress_n512_seed1,pivot_stress,512,1,4,1.3479180752777942e-12,4.3972689988946793e-16
pivot_stress_n512_seed2,pivot_stress,512,2,0,2959.712464476661,1.0
pivot_stress_n512_seed2,pivot_stress,512,2,1,0.09500561275287679,3.209960896308749e-05
pivot_stress_n512_seed2,pivot_stress,512,2,2,2.0694123381425182e-05,6.991937098553368e-09
pivot_stress_n512_seed2,pivot_stress,512,2,3,2.5965832126977037e-09,8.773092805002712e-13
pivot_stress_n512_seed2,pivot_stress,512,2,4,1.2873453003565232e-12,4.3495620463393656e-16
pivot_stress_n512_seed3,pivot_stress,512,3,0,2938.418175667868,1.0
pivot_stress_n512_seed3,pivot_stress,512,3,1,0.04412743054606722,1.5017410017223832e-05
pivot_stress_n512_seed3,pivot_stress,512,3,2,1.9944625057425016e-05,6.7875380102737884e-09
pivot_stress_n512_seed3,pivot_stress,512,3,3,5.070538867514138e-09,1.7256015190423547e-12
pivot_stress_n512_seed3,pivot_stress,512,3,4,2.2811223143221997e-12,7.763096257746661e-16
random_n128_seed1,random,128,1,0,800.6918214128066,1.0
random_n128_seed1,random,128,1,1,0.01737157040035273,2.1695701062240027e-05
random_n128_seed1,random,128,1,2,5.765375349176235e-07,7.200492367966657e-10
random_n128_seed1,random,128,1,3,5.00047014170153e-11,6.24518698452332e-14
random_n128_seed2,random,128,2,0,725.0306033221706,1.0
random_n128_seed2,random,128,2,1,0.021383384362988873,2.9493078312843396e-05
random_n128_seed2,random,128,2,2,6.021792355192286e-07,8.305569899532194e-10
random_n128_seed2,random,128,2,3,1.3624032468767791e-11,1.8790975727563727e-14
random_n128_seed3,random,128,3,0,837.1291024883573,1.0
random_n128_seed3,random,128,3,1,0.008232277201008643,9.83393980275956e-06
random_n128_seed3,random,128,3,2,1.0893973903841496e-07,1.301349322518985e-10
random_n128_seed3,random,128,3,3,2.0207962198022566e-12,2.413960061590813e-15
random_n256_seed1,random,256,1,0,1568.8662064346952,1.0
random_n256_seed1,random,256,1,1,0.46385977554140145,0.0002956656046505963
random_n256_seed1,random,256,1,2,0.0011355808635715185,7.238226299438031e-07
random_n256_seed1,random,256,1,3,6.253284647492803e-06,3.985862288221261e-09
random_n256_seed1,random,256,1,4,2.777384705936438e-08,1.7703132966629095e-11
random_n256_seed1,random,256,1,5,1.1490087965989393e-10,7.32381634511781e-14
random_n256_seed1,random,256,1,6,6.322108644483418e-13,4.029730909209038e-16
random_n256_seed2,random,256,2,0,1333.8931147046542,1.0
random_n256_seed2,random,256,2,1,0.06328017670086222,4.7440215414016506e-05
random_n256_seed2,random,256,2,2,2.5879198759620838e-06,1.9401253724404234e-09
random_n256_seed2,random,256,2,3,2.3622440709065264e-10,1.7709395489529653e-13
random_n256_seed2,random,256,2,4,4.569045670322993e-13,3.4253461690104417e-16
random_n256_seed3,random,256,3,0,1635.9772943111702,1.0
random_n256_seed3,random,256,3,1,0.034707163279643696,2.1214941919018003e-05
random_n256_seed3,random,256,3,2,4.517813938415664e-07,2.761538289147157e-10
random_n256_seed3,random,256,3,3,2.995334577479695e-11,1.830914516904028e-14
random_n512_seed1,random,512,1,0,2922.1370576859877,1.0
random_n512_seed1,random,512,1,1,0.8692709459443688,0.00029747781462130876
random_n512_seed1,random,512,1,2,0.0007560747295907272,2.587403378640479e-07
random_n512_seed1,random,512,1,3,7.648963706158542e-07,2.617592383642567e-10
random_n512_seed1,random,512,1,4,3.038736563775744e-10,1.0399021345638354e-13
random_n512_seed1,random,512,1,5,1.2445848690522773e-12,4.2591598014839594e-16
random_n512_seed2,random,512,2,0,2962.809323026265,1.0
random_n512_seed2,random,512,2,1,0.163798413192118,5.5284831163151415e-05
random_n512_seed2,random,512,2,2,0.00021634254275102566,7.301939448808324e-08
random_n512_seed2,random,512,2,3,3.890157137257171e-07,1.3129961172404093e-10
random_n512_seed2,random,512,2,4,5.363449446510597e-10,1.8102580563747777e-13
random_n512_seed2,random,512,2,5,1.391855783813975e-12,4.697756865407422e-16
random_n512_seed3,random,512,3,0,3070.4520699722375,1.0
random_n512_seed3,random,512,3,1,0.11232469969603079,3.658246314753463e-05
random_n512_seed3,random,512,3,2,3.328938250954387e-05,1.084185056497067e-08
random_n512_seed3,random,512,3,3,3.15218054411986e-08,1.0266177332474569e-11
random_n512_seed3,random,512,3,4,3.573247545430659e-11,1.1637529145546856e-14
large_value_n128_seed1,large_value,128,1,0,2355391.196564207,1.0
large_value_n128_seed1,large_value,128,1,1,22.91502863132172,9.728757016986273e-06
large_value_n128_seed1,large_value,128,1,2,0.0008440150524704236,3.5833327971233933e-10
large_value_n128_seed1,large_value,128,1,3,7.946513546655897e-08,3.3737553058054314e-14
large_value_n128_seed1,large_value,128,1,4,1.0061626064640343e-09,4.2717430885014635e-16
large_value_n128_seed1,large_value,128,1,5,8.987501289709961e-10,3.8157149023992143e-16
large_value_n128_seed1,large_value,128,1,6,1.0473588717595905e-09,4.446645097796773e-16
large_value_n128_seed1,large_value,128,1,7,9.716604853719866e-10,4.1252615989621644e-16
large_value_n128_seed1,large_value,128,1,8,9.065212504482625e-10,3.848707814526092e-16
large_value_n128_seed2,large_value,128,2,0,5257493.358247899,1.0
large_value_n128_seed2,large_value,128,2,1,20.034950363543203,3.810741925543774e-06
large_value_n128_seed2,large_value,128,2,2,0.00023675112018287366,4.5031178177612157e-11
large_value_n128_seed2,large_value,128,2,3,9.67312774352627e-09,1.839874458110569e-15
large_value_n128_seed2,large_value,128,2,4,1.0635847408919133e-09,2.0229882729635272e-16
large_value_n128_seed2,large_value,128,2,5,9.45426632579229e-10,1.798245985600826e-16
large_value_n128_seed2,large_value,128,2,6,9.266496912420826e-10,1.7625313587669387e-16
large_value_n128_seed2,large_value,128,2,7,9.258495248264439e-10,1.7610094045558442e-16
large_value_n128_seed2,large_value,128,2,8,9.858855445609847e-10,1.8752007418408585e-16
large_value_n128_seed3,large_value,128,3,0,2273145.9157487527,1.0
large_value_n128_seed3,large_value,128,3,1,58.7430780161002,2.584219411922388e-05
large_value_n128_seed3,large_value,128,3,2,0.0074604495494944734,3.2819932490066623e-09
large_value_n128_seed3,large_value,128,3,3,7.025090476572934e-07,3.0904705359659836e-13
large_value_n128_seed3,large_value,128,3,4,1.0901317466241332e-09,4.795696303838261e-16
large_value_n128_seed3,large_value,128,3,5,1.0490507884369324e-09,4.6149733775070265e-16
large_value_n128_seed3,large_value,128,3,6,9.445302809839353e-10,4.1551678422404134e-16
large_value_n128_seed3,large_value,128,3,7,1.0216439444611374e-09,4.494405472974741e-16
large_value_n128_seed3,large_value,128,3,8,1.1455417030967161e-09,5.039455211212807e-16
large_value_n256_seed1,large_value,256,1,0,6310416.074740682,1.0
large_value_n256_seed1,large_value,256,1,1,246.5171980454005,3.9065125837289705e-05
large_value_n256_seed1,large_value,256,1,2,0.014224819177799358,2.254180866890605e-09
large_value_n256_seed1,large_value,256,1,3,2.539035903223207e-06,4.023563380212683e-13
large_value_n256_seed1,large_value,256,1,4,2.7787014539629437e-09,4.4033569594333457e-16
large_value_n256_seed1,large_value,256,1,5,2.49807053948011e-09,3.958646323622591e-16
large_value_n256_seed1,large_value,256,1,6,2.7423025368328157e-09,4.3456762665930976e-16
large_value_n256_seed1,large_value,256,1,7,2.8665795610013654e-09,4.542615775330098e-16
large_value_n256_seed1,large_value,256,1,8,2.675891070207124e-09,4.2404352399490334e-16
large_value_n256_seed2,large_value,256,2,0,6204112.00935536,1.0
large_value_n256_seed2,large_value,256,2,1,247.98075737379915,3.997038689821554e-05
large_value_n256_seed2,large_value,256,2,2,0.01622009892488887,2.6144110390705575e-09
large_value_n256_seed2,large_value,256,2,3,4.820484179619404e-06,7.769821325518393e-13
large_value_n256_seed2,large_value,256,2,4,2.937225777086444e-09,4.734320999777754e-16
large_value_n256_seed2,large_value,256,2,5,2.5466163474487766e-09,4.104723357039106e-16
large_value_n256_seed2,large_value,256,2,6,2.44947033913796e-09,3.948140097155456e-16
large_value_n256_seed2,large_value,256,2,7,2.4127452847583362e-09,3.8889453980200357e-16
