case_id,mode,n,seed,status,error,elapsed_s,e_node,swaps,lu_abs_error,lu_rel_error,direct_residual,direct_rel_x_error,ir_initial_residual,ir_final_residual,ir_rel_x_error,ir_converged,ir_iterations,residual_improvement,total_cycles,panel_fact_ops,trsm_u_ops,trsm_l_ops,gemm_schur_ops,align_drop_count,align_shift_max,asm_overflow_count,requant_sat_count,maxabs_acc
pivot_stress_n64_seed2,pivot_stress,64,2,ok,,0.031196833006106317,-24,54,0.0002192262816888947,2.847382695264204e-06,0.0035309840871001214,2.1404611991368054e-05,464.0898887100769,3.187224268043047e-13,3.232807954015603e-15,TRUE,3,11078555476.951557,2080,4,6,6,14,0,0,0,0,125414881
pivot_stress_n64_seed3,pivot_stress,64,3,ok,,0.025172749999910593,-24,47,8.340223406357921e-05,1.0841603694837137e-06,0.0011506542850569033,1.4577061908949644e-05,400.3354027550451,1.2460165117547493e-13,5.981384827453692e-15,TRUE,3,9234663218.35857,2080,4,6,6,14,0,0,0,0,131062667
pivot_stress_n128_seed1,pivot_stress,128,1,ok,,0.08221554200281389,-23,98,0.00038323299174565403,2.70832847655551e-06,0.003396615093748904,0.00012706063579299425,777.7792770056126,2.290798457996031e-11,2.167220111683144e-12,TRUE,3,148272104.94633523,10560,8,28,28,140,0,0,0,0,76705845
pivot_stress_n128_seed2,pivot_stress,128,2,ok,,0.07660833300906233,-24,105,0.0009019745367893657,6.358316244128714e-06,0.006464729502272132,2.6599999174509973e-05,740.231599945373,2.2097322178684876e-12,1.6219050712853744e-14,TRUE,3,2925571456.123323,10560,8,28,28,140,0,0,0,0,132980717
pivot_stress_n128_seed3,pivot_stress,128,3,ok,,0.07709912498830818,-23,103,0.00047259474019620176,3.323370591599337e-06,0.0028881060179960444,1.7214847788238735e-05,720.6784280419754,9.03743255236799e-13,1.4088561452376077e-14,TRUE,3,3195715156.114003,10560,8,28,28,140,0,0,0,0,67213015
random_n32_seed1,random,32,1,ok,,0.00410083300084807,-25,28,4.379698048608357e-05,1.378444333479897e-06,0.0005364680231575238,1.1613608259259702e-05,175.64186395848822,3.2766441552384e-14,5.12358001246601e-16,TRUE,3,16372483484.356016,624,2,1,1,1,0,0,0,0,125883980
random_n32_seed2,random,32,2,ok,,0.007616708986461163,-25,25,2.9087834558882912e-05,8.981300788002223e-07,0.00039705652067732565,9.987215380578484e-06,185.3739168138926,4.650019076531615e-14,9.568908645255139e-16,TRUE,3,8538814876.722713,624,2,1,1,1,0,0,0,0,104359470
random_n32_seed3,random,32,3,ok,,0.008240458002546802,-25,24,2.6014614432375742e-05,8.090247765429339e-07,0.0004172425955134866,9.813955006159976e-06,177.39680243348724,3.092085731553811e-14,1.4642168124222291e-15,TRUE,3,13493888324.494064,624,2,1,1,1,0,0,0,0,111806095
random_n64_seed1,random,64,1,ok,,0.020121124980505556,-25,49,0.00011126210048386126,1.7333728745096818e-06,0.002954790254400719,2.731455526788518e-05,420.0512169864485,5.84858576781339e-13,1.2755552177308437e-14,TRUE,3,5052144863.2280655,2080,4,6,6,14,0,0,0,0,125883980
random_n64_seed2,random,64,2,ok,,0.02012766699772328,-25,47,0.00014431413263201422,2.2506394060890597e-06,0.0016062641331611603,9.395801624213377e-06,375.7934531881285,3.2883718987376625e-13,2.4323766134799452e-15,TRUE,3,4884679052.809604,2080,4,6,6,14,0,0,0,0,123216383
random_n64_seed3,random,64,3,ok,,0.019122708996292204,-25,51,0.00012517144821768254,1.951515723705598e-06,0.006681701587361206,4.199307318003694e-05,324.2094201887099,7.792661025017528e-13,5.034414437376576e-15,TRUE,3,8574351644.335995,2080,4,6,6,14,0,0,0,0,130407799
random_n128_seed1,random,128,1,ok,,0.09214766701916233,-25,109,0.0005285918939250488,4.150589069558497e-06,0.01737157040035273,7.277250603808253e-05,800.6918214128066,5.00047014170153e-11,3.375371821654736e-12,TRUE,3,347398742.679856,10560,8,28,28,140,0,0,0,0,131988200
random_n128_seed2,random,128,2,ok,,0.0683212080039084,-25,108,0.0006274856158072583,4.901896559463692e-06,0.021383384362988873,0.00010389479312316508,725.0306033221706,1.3624032468767791e-11,8.694928380640981e-14,TRUE,3,1569534160.463056,10560,8,28,28,140,0,0,0,0,131049847
random_n128_seed3,random,128,3,ok,,0.07088658399879932,-24,99,0.0003931198597543301,3.085833008965231e-06,0.008232277201008643,1.7851148225875004e-05,837.1291024883573,2.0207962198022566e-12,1.0755880770753911e-14,TRUE,3,4073778998.762283,10560,8,28,28,140,0,0,0,0,67727300
large_value_n32_seed1,large_value,32,1,ok,,0.004455499991308898,-13,22,0.10788565905767597,5.804741101144083e-07,0.9438674552224373,5.734951097994154e-06,1561866.5721707742,2.1827872842550278e-10,5.529463367832303e-15,FALSE,8,4324138508.735053,624,2,1,1,1,0,0,0,0,81871742
large_value_n32_seed2,large_value,32,2,ok,,0.009297875018091872,-13,24,0.2292301476260022,1.2359935087778982e-06,3.2946371838990336,1.5177233685377776e-05,741585.7058650808,9.346136778669555e-11,1.842312877336456e-15,TRUE,8,35251326424.178795,624,2,1,1,1,0,0,0,0,81916567
large_value_n32_seed3,large_value,32,3,ok,,0.004654208023566753,-13,24,0.0696421701074035,3.8104339206347284e-07,2.309617095705893,6.855975019895247e-06,1020820.2850040337,2.0515104086184415e-10,1.617287598033993e-15,FALSE,8,11258130039.229338,624,2,1,1,1,0,0,0,0,81903866
large_value_n64_seed1,large_value,64,1,ok,,0.028732750011840835,-13,48,0.2688407455960208,7.289839225078428e-07,11.182971506285568,2.053695333568861e-05,1812830.764117535,4.140908502488221e-10,4.0145369221205154e-15,FALSE,8,27006082118.37054,2080,4,6,6,14,0,0,0,0,81902892
large_value_n64_seed2,large_value,64,2,ok,,0.02707183299935423,-13,51,0.2624505655385187,7.084255502256286e-07,13.134608478595553,1.635859576639643e-05,2510519.2823397075,4.197414120966556e-10,2.3825004365024044e-15,FALSE,8,31292143448.478683,2080,4,6,6,14,0,0,0,0,81916567
large_value_n64_seed3,large_value,64,3,ok,,0.02485958399483934,-13,50,0.235359474229128,6.37663619789491e-07,5.542606010447518,1.4627986694786322e-05,1420427.8900804874,3.588161200150484e-10,2.788315648278978e-15,FALSE,8,15446925880.072126,2080,4,6,6,14,0,0,0,0,81917652
large_value_n128_seed1,large_value,128,1,ok,,0.11155925001366995,-13,96,1.4588527494259396,1.9779400724497883e-06,22.91502863132172,8.17665886055939e-05,2355391.196564207,9.065212504482625e-10,1.9745182352439734e-14,FALSE,8,25277982860.29208,10560,8,28,28,140,0,0,0,0,81908189
large_value_n128_seed2,large_value,128,2,ok,,0.09281729100621305,-13,104,0.7442849761978263,1.0049998569759963e-06,20.034950363543203,3.534415268507691e-05,5257493.358247899,9.858855445609847e-10,1.63274310127707e-14,FALSE,8,20321781239.28653,10560,8,28,28,140,0,0,0,0,81918040
large_value_n128_seed3,large_value,128,3,ok,,0.09571449999930337,-13,96,5.436449958512786,7.386745599827094e-06,58.7430780161002,0.00023640712583391878,2273145.9157487527,1.1455417030967161e-09,9.829821295805376e-15,FALSE,8,51279737662.366554,10560,8,28,28,140,0,0,0,0,81917652
